"StateFIPS","State","Year","Value","Data Comment",
"42","Pennsylvania","2012","21.8","",
"42","Pennsylvania","2013","21.2","",
"42","Pennsylvania","2014","21.9","",
"42","Pennsylvania","2015","21.3","",
"42","Pennsylvania","2016","21.0","",
"42","Pennsylvania","2017","20.4","",
"42","Pennsylvania","2018","20.7","",
"42","Pennsylvania","2019","19.8","",
"42","Pennsylvania","2020","18.2","",
"44","Rhode Island","2011","22.9","",
"44","Rhode Island","2012","22.1","",
"44","Rhode Island","2013","22.6","",
"44","Rhode Island","2014","23.4","",
"44","Rhode Island","2015","21.5","",
"44","Rhode Island","2016","19.5","",
"44","Rhode Island","2017","17.3","",
"44","Rhode Island","2018","19.1","",
"44","Rhode Island","2019","20.5","",
"44","Rhode Island","2020","17.8","",
"45","South Carolina","2011","16.9","",
"45","South Carolina","2012","16.7","",
"45","South Carolina","2013","16.7","",
"45","South Carolina","2014","17.9","",
"45","South Carolina","2015","17.1","",
"45","South Carolina","2016","16.9","",
"45","South Carolina","2017","16.4","",
"45","South Carolina","2018","16.4","",
"45","South Carolina","2019","14.6","",
"45","South Carolina","2020","14.3","",
"46","South Dakota","2011","21.0","",
"46","South Dakota","2012","21.6","",
"46","South Dakota","2013","18.8","",
"46","South Dakota","2014","20.6","",
"46","South Dakota","2015","16.9","",
"46","South Dakota","2016","21.2","",
"46","South Dakota","2017","20.0","",
"46","South Dakota","2018","19.6","",
"46","South Dakota","2019","18.7","",
"46","South Dakota","2020","17.6","",
"47","Tennessee","2011","18.4","",
"47","Tennessee","2012","18.5","",
"47","Tennessee","2013","17.6","",
"47","Tennessee","2014","17.9","",
"47","Tennessee","2015","17.9","",
"47","Tennessee","2016","17.6","",
"47","Tennessee","2017","18.3","",
"47","Tennessee","2018","17.7","",
"47","Tennessee","2019","17.6","",
"47","Tennessee","2020","16.4","",
"48","Texas","2011","18.3","",
"48","Texas","2012","18.5","",
"48","Texas","2013","18.1","",
"48","Texas","2014","17.8","",
"48","Texas","2015","17.4","",
"48","Texas","2016","17.6","",
"48","Texas","2017","17.6","",
"48","Texas","2018","17.9","",
"48","Texas","2019","17.7","",
"48","Texas","2020","16.5","",
"49","Utah","2011","17.5","",
"49","Utah","2012","18.0","",
"49","Utah","2013","19.3","",
"49","Utah","2014","19.2","",
"49","Utah","2015","19.1","",
"49","Utah","2016","17.5","",
"49","Utah","2017","18.8","",
"49","Utah","2018","17.8","",
"49","Utah","2019","18.4","",
"49","Utah","2020","18.2","",
"50","Vermont","2011","22.6","",
"50","Vermont","2012","22.1","",
"50","Vermont","2013","23.5","",
"50","Vermont","2014","22.4","",
"50","Vermont","2015","22.0","",
"50","Vermont","2016","18.0","",
"50","Vermont","2017","17.6","",
"50","Vermont","2018","17.6","",
"50","Vermont","2019","21.4","",
"50","Vermont","2020","19.6","",
"51","Virginia","2011","17.8","",
"51","Virginia","2012","16.5","",
