"StateFIPS","State","Year","Value","Data Comment",
"41","Oregon","2016","7.0","",
"41","Oregon","2017","7.2","",
"41","Oregon","2018","6.4","",
"41","Oregon","2019","5.8","",
"41","Oregon","2020","6.3","",
"42","Pennsylvania","2011","7.2","",
"42","Pennsylvania","2012","7.4","",
"42","Pennsylvania","2013","7.5","",
"42","Pennsylvania","2014","7.2","",
"42","Pennsylvania","2015","7.0","",
"42","Pennsylvania","2016","7.4","",
"42","Pennsylvania","2017","7.5","",
"42","Pennsylvania","2018","6.9","",
"42","Pennsylvania","2019","7.0","",
"42","Pennsylvania","2020","6.6","",
"44","Rhode Island","2011","7.5","",
"44","Rhode Island","2012","6.4","",
"44","Rhode Island","2013","5.2","",
"44","Rhode Island","2014","7.9","",
"44","Rhode Island","2015","6.6","",
"44","Rhode Island","2016","6.5","",
"44","Rhode Island","2017","7.7","",
"44","Rhode Island","2018","6.9","",
"44","Rhode Island","2019","6.9","",
"44","Rhode Island","2020","7.0","",
"45","South Carolina","2011","6.6","",
"45","South Carolina","2012","6.1","",
"45","South Carolina","2013","6.4","",
"45","South Carolina","2014","6.5","",
"45","South Carolina","2015","6.6","",
"45","South Carolina","2016","5.9","",
"45","South Carolina","2017","6.5","",
"45","South Carolina","2018","6.0","",
"45","South Carolina","2019","6.1","",
"45","South Carolina","2020","5.7","",
"46","South Dakota","2011","9.5","",
"46","South Dakota","2012","7.3","",
"46","South Dakota","2013","7.2","",
"46","South Dakota","2014","7.4","",
"46","South Dakota","2015","6.3","",
"46","South Dakota","2016","7.2","",
"46","South Dakota","2017","5.8","",
"46","South Dakota","2018","5.3","",
"46","South Dakota","2019","6.8","",
"46","South Dakota","2020","5.0","",
"47","Tennessee","2011","6.9","",
"47","Tennessee","2012","6.5","",
"47","Tennessee","2013","6.5","",
"47","Tennessee","2014","6.5","",
"47","Tennessee","2015","6.3","",
"47","Tennessee","2016","6.5","",
"47","Tennessee","2017","6.7","",
"47","Tennessee","2018","6.9","",
