"StateFIPS","State","Year","Value","Data Comment",
"46","South Dakota","2016","6.9","",
"46","South Dakota","2017","8.1","",
"46","South Dakota","2018","5.6","",
"46","South Dakota","2019","5.6","",
"46","South Dakota","2020","5.9","",
"47","Tennessee","2011","8.4","",
"47","Tennessee","2012","8.4","",
"47","Tennessee","2013","9.1","",
"47","Tennessee","2014","8.7","",
"47","Tennessee","2015","8.2","",
"47","Tennessee","2016","8.6","",
"47","Tennessee","2017","7.6","",
"47","Tennessee","2018","9.2","",
"47","Tennessee","2019","6.9","",
"47","Tennessee","2020","7.1","",
"48","Texas","2011","9.3","",
"48","Texas","2012","9.2","",
"48","Texas","2013","9.1","",
"48","Texas","2014","9.5","",
"48","Texas","2015","9.5","",
"48","Texas","2016","9.6","",
"48","Texas","2017","9.3","",
"48","Texas","2018","9.6","",
"48","Texas","2019","9.9","",
"48","Texas","2020","9.1","",
"49","Utah","2011","5.5","",
"49","Utah","2012","4.8","",
"49","Utah","2013","4.9","",
"49","Utah","2014","4.5","",
"49","Utah","2015","5.1","",
"49","Utah","2016","5.9","",
"49","Utah","2017","6.2","",
"49","Utah","2018","5.3","",
"49","Utah","2019","5.1","",
"49","Utah","2020","6.4","",
"50","Vermont","2011","4.3","",
"50","Vermont","2012","Suppressed","Unstable",
"50","Vermont","2013","5.7","",
"50","Vermont","2014","Suppressed","",
"50","Vermont","2015","Suppressed","",
"50","Vermont","2016","Suppressed","Unstable",
"50","Vermont","2017","Suppressed","",
"50","Vermont","2018","Suppressed","Unstable",
"50","Vermont","2019","8.6","",
"50","Vermont","2020","7.5","",
"51","Virginia","2011","6.3","",
"51","Virginia","2012","6.6","",
"51","Virginia","2013","5.9","",
"51","Virginia","2014","6.9","",
"51","Virginia","2015","5.9","",
"51","Virginia","2016","6.3","",
"51","Virginia","2017","5.6","",
"51","Virginia","2018","6.3","",
"51","Virginia","2019","6.3","",
"51","Virginia","2020","5.7","",
"53","Washington","2011","7.1","",
"53","Washington","2012","6.1","",
"53","Washington","2013","6.6","",
"53","Washington","2014","7.5","",
"53","Washington","2015","7.0","",
"53","Washington","2016","6.4","",
"53","Washington","2017","6.9","",
"53","Washington","2018","6.8","",
"53","Washington","2019","7.0","",
"53","Washington","2020","5.5","",
"54","West Virginia","2011","10.1","",
"54","West Virginia","2012","10.2","",
"54","West Virginia","2013","8.2","",
